Book,Character,F1,h,wF1,wh
Dune,Norma Cevna,0.5122960805892944,0.7993872527996245,0.5158432126045227,0.6773874968887998
Dune,Norma Cenva/XD,0.5512271523475647,6.199513463104488e-05,0.5604516863822937,1.0460441467253292e-05
Dune,Leto Atreides I,0.4105958044528961,0.020697771928702365,0.48360273241996765,0.50074308350192
Dune,Leto Atreides I/XD,0.5424268245697021,0.00649380806616269,0.5648755431175232,0.007497315270821175
Dune,Leto Atreides I/DE,0.5581569671630859,0.0122815102595685,0.560470700263977,0.09872871471726333
Dune,Minotauros Atreides,0.49835649132728577,0.8598707847609885,0.5270689725875854,1.0406608076188153
Dune,Paulus Atreides,0.5355798602104187,0.271578043577058,0.5614880919456482,0.4179249168729293
Dune,Wensicia Corrino/DE,0.5668254494667053,1.3015824768351587,0.5685476064682007,0.9004257353402254
Dune,Wensicia Corrino,0.5715660452842712,1.819849624453167,0.5675203800201416,0.9927692781062312
Dune,Wensicia Corrino/XD,0.5519932508468628,2.0858945745858164,0.5662568211555481,0.7882317365601965
Dune,Gaius Helen Mohiam,0.526899516582489,0.26543341953202276,0.5729935765266418,1.7485603659038413
Dune,Gaius Helen Mohiam/XD,0.5598617196083069,0.11286135791118075,0.5468011498451233,0.20863480469302575
Dune,Irulan Corrino/DE,0.5699177980422974,0.008294743645371083,0.5701636075973511,0.052716287073375265
Dune,Irulan Corrino/XD,0.57404625415802,0.2016177482430724,0.5677991509437561,0.10624642096516726
Dune,Irulan Corrino,0.5549029111862183,0.3883706492553182,0.5475248694419861,0.09247840316986523
Dune,Abulurd Harkonnen,0.5195108652114868,1.1375128614763075,0.563437819480896,0.8915872034693118
Dune,Abulurd Harkonnen/XD,0.5185393691062927,0.10119729697112667,0.5474209189414978,0.11607819804821985
Dune,Abulurd Harkonnen/DE,0.5690500736236572,3.0326024419900905,0.5602651238441467,2.1631050120522923
Dune,Alma Mavis Taraza,0.5149604678153992,0.8999436439874243,0.5610169768333435,0.9030535975180287
Dune,Vorian Atreides,0.5141591429710388,1.5746219723473062e-11,0.5186734795570374,2.532705075372917e-14
Dune,Tlaloc,0.5124073624610901,3.8070235424098406,0.542407751083374,1.1899244749396642
Dune,Hayt,0.5623521208763123,1.4888159950764241,0.5540022253990173,2.7630196330461185
Dune,Rhombur Vernius,0.5298475623130798,0.4492802922201242,0.5671092867851257,0.2153144695845419
Dune,Scytale/XD,0.503553569316864,0.5991165982236485,0.512489378452301,0.18647375701503857
Dune,Scytale,0.521210253238678,0.5930412116541532,0.5328407883644104,0.26772625833626873
Dune,Serena Butler,0.5420154333114624,0.0011538850831310282,0.5333322882652283,0.004933565349852823
Dune,Victor Atreides,0.5181224346160889,0.5430793792140399,0.5632820129394531,1.9181918906205708
Dune,Shando Vernius,0.5465232133865356,0.7520822598278919,0.5261800289154053,0.8021177618208027
Dune,Xavier Harkonnen,0.5171380639076233,0.07438961491717717,0.5296557545661926,0.026693979818351025
Dune,Zufa Cenva,0.5469627380371094,0.2514755578288763,0.5501323938369751,0.497377813153401
Dune,Schwangyu,0.5511276125907898,1.8958544366122754,0.5603456497192383,3.75076187459884
Dune,Siona Atreides,0.5566157698631287,0.7132382625515441,0.554270327091217,0.2215421654128753
Dune,Siona Atreides/DE,0.5491563081741333,0.06719085995065996,0.5399253964424133,0.03732759956355899
Dune,Tylwyth Waff,0.5559523701667786,1.7187419585481665,0.5639292001724243,1.6008048102770898
Dune,Tylwyth Waff/XD,0.5124163627624512,0.07661032321880996,0.5229356288909912,0.25288196104186905
Dune,Sheeana Brugh,0.5689539313316345,3.879076295351741,0.5332396626472473,2.092447271800819
Dune,Ramallo,0.5678929090499878,1.154690518665489,0.5771474838256836,1.2469760206362495
Dune,Stilgar,0.4978335201740265,1.050191588802027,0.5372103452682495,0.45798090071624514
Dune,Stilgar/XD,0.5325565934181213,0.009345082676953378,0.5565240383148193,0.02213834752706565
Dune,Feyd-Rautha Harkonnen,0.5048120021820068,0.0491797741805462,0.5505842566490173,0.2825709889059585
Dune,Feyd-Rautha Harkonnen/XD,0.5184348821640015,0.4453832166565645,0.5551453828811646,0.7768125638908089
Dune,Hasimir Fenring,0.5189106464385986,0.7464248043860787,0.5208718776702881,1.5108144082637671
Dune,Hasimir Fenring/XD,0.5510604977607727,0.001703892338078755,0.544485330581665,0.0002571528928407834
Dune,Hasimir Fenring/DE,0.5589741468429565,0.07051858646355619,0.5578520894050598,0.009590917323395013
Dune,Anirul Corrino,0.5521725416183472,1.7887946758179383,0.5885332226753235,2.5883263573458932
Dune,Anirul Corrino/XD,0.5213653445243835,0.028690656732859886,0.5438908934593201,0.001879786372748121
Dune,Alia Atreides,0.48865294456481934,0.24867034797001136,0.5153259038925171,0.6871300640953478
Dune,Alia Atreides/DE,0.5429959297180176,0.0005869810126358283,0.5494107007980347,0.004181846242476262
Dune,Alia Atreides/XD,0.5628538727760315,0.17390191568177443,0.5844299793243408,0.1964782510209474
Dune,Liet Kynes,0.5779098868370056,0.5893175192449547,0.5671825408935547,0.5113138194072281
Dune,Liet Kynes/XD,0.5261752009391785,0.016718974780555076,0.5566666722297668,0.0879191166519297
Dune,Jessica Atreides/XD,0.5875866413116455,0.000311931069324905,0.5902204513549805,0.0024900520749133004
Dune,Jessica Atreides,0.49737289547920227,0.376441262810641,0.4970850646495819,0.41080893388644285
Dune,Jessica Atreides/DE,0.5496556758880615,0.00497821952707129,0.581811785697937,0.000821748321130021
Dune,Chani Kynes/XD,0.5629531741142273,0.24791256997048564,0.5749582052230835,0.4718340006828659
Dune,Chani Kynes/DE,0.5352669954299927,0.0024467130192041366,0.5434961318969727,0.003280766620001051
Dune,Chani Kynes,0.5317520499229431,1.1616693733240027,0.5398597121238708,1.4438592161520993
Dune,Tyros Reffa,0.4846203923225403,0.8964724246466521,0.5130773186683655,0.7053993910320941
Dune,Harah,0.4883544445037842,0.00018610305522350263,0.5431880950927734,0.11735179654303506
Dune,Elrood Corrino IX,0.5237322449684143,1.7444766368832163,0.5411025285720825,2.93718753271404
Dune,Elrood Corrino IX/DE,0.5214135646820068,1.9298188623521342,0.5335577726364136,1.4521326514600517
Dune,Elrood Corrino IX/XD,0.5054969191551208,0.42876053439669376,0.533433198928833,0.6927029094790409
Dune,Jehanne Butler,0.5041056871414185,0.7578706297314075,0.511239230632782,0.7765911703854489
Dune,Moneo Atreides/DE,0.5515987873077393,0.010430865528719855,0.5363215208053589,0.0014551728037286817
Dune,Moneo Atreides,0.5522628426551819,0.20408629518677973,0.5395599007606506,0.032820311689115006
Dune,Tio Holtzman,0.5365378260612488,0.45204757650116334,0.5751590132713318,0.20243747261137643
Dune,Lady Jessica,0.41134053468704224,0.0023579364569927684,0.5031242370605469,0.5388505817298004
Dune,Leto I Atreides,0.5601571798324585,0.10239899046439142,0.5555311441421509,0.041715526175802556
Dune,Glossu Rabban,0.5129092931747437,1.0069395582773502,0.49826934933662415,0.8636006270233796
Dune,Piter De Vries,0.5457844734191895,2.2644010208784757,0.5682894587516785,3.001800801270369
Dune,Mapes,0.5276244282722473,0.04584231248016774,0.5413835644721985,2.2664236242419347
Dune,Liet-Kynes,0.4854009747505188,0.10856917147042115,0.5855634212493896,0.9576363986833852
Dune,Otheym,0.5967943072319031,2.07091631715095,0.5572136640548706,2.31686868074298
Dune,Korba,0.4850527346134186,1.211352121437672,0.5010478496551514,1.7559935864881497
Dune,Aramsham,0.5344614386558533,1.4950078491961323,0.558563232421875,1.4762572326855694
Dune,Iakin Nefud,0.5314460396766663,1.5068754477787643,0.5381607413291931,1.2583039126290727
Dune,Edric,0.47176069021224976,1.5474047775962123,0.5060545206069946,1.0497433254975999
Dune,Bijaz,0.500070333480835,0.19477749102294503,0.5213509202003479,0.9725980765421375
Dune,Lichna,0.5000667572021484,0.8253871268352208,0.5714812278747559,2.2966022270097417
Dune,Farok,0.5553319454193115,2.3081063709412537,0.5157051682472229,1.8509081586007978
Dune,Tyekanik,0.5200982689857483,0.8706128152474562,0.5710911154747009,1.0321123382009028
Dune,Ziarenko Javid,0.467689573764801,0.8923458602015979,0.5024972558021545,0.9705700571787713
Dune,Tertius Eileen Anteac,0.4842688739299774,1.6092160416916075,0.5371854901313782,0.9017624269997889
Dune,Nayla,0.5117801427841187,1.2422612366213277,0.5429883599281311,1.5111770122717076
Dune,Quintinius Violet Chenoeh,0.503670334815979,0.0039290175847630365,0.5365883708000183,0.007138869204205962
Dune,Marcus Claire Luyseyal,0.4626936614513397,1.0868284645373025,0.5031079053878784,1.9392148340688637
Dune,Bellonda,0.566320538520813,2.080836282967017,0.572908878326416,3.142909773513882
Dune,Alef Burzmali,0.5303556323051453,0.8859958499328504,0.5734409093856812,2.9636699586674617
Dune,Hedley Tuek,0.5025479197502136,0.8595255704490478,0.5215905904769897,1.2034179134975413
Dune,Marty,0.5066540837287903,1.1714954308479877,0.5216068029403687,1.8426423024082883
Dune,Daniel,0.4878224730491638,1.5604541803826115,0.5150571465492249,2.1357647876013357
Dune,Dama,0.44856196641921997,0.48454915109956975,0.5121527910232544,0.7110396160190182
Dune,Logno,0.5045991539955139,0.46694207139721666,0.523835301399231,1.2178156469281667
Twilight,Renesmee Cullen,0.497202605009079,3.8947510848525565e-11,0.4866980016231537,1.0830165529302883e-12
Twilight,Aro,0.45439353585243225,9.889850379521283e-13,0.5243455767631531,8.342864762593227e-07
